gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
UBE2T	HRD-Dup	loss	10	60	2	138	11.5	0.0003743359823092016	0.0232088309031705	True
PIK3CA	HRD-Dup	gain	36	34	71	69	1.0289975144987573	1.0	1.0	False
PIK3CA	HRD-Dup	loss	3	67	4	136	1.5223880597014925	0.6882565673086753	1.0	False
RB1	HRD-Dup	gain	1	69	5	135	0.391304347826087	0.6659891792592908	1.0	False
RB1	HRD-Dup	loss	49	21	58	82	3.2988505747126435	0.00012571522734021679	0.0194858602377336	True
MYC	HRD-Dup	gain	55	15	74	66	3.27027027027027	0.0002968835877291973	0.0232088309031705	True
MYC	HRD-Dup	loss	2	68	1	139	4.088235294117647	0.2581891792418381	0.8893182840552201	False
FANCF	HRD-Dup	gain	2	68	2	138	2.0294117647058822	0.6020938126201744	1.0	False
FANCF	HRD-Dup	loss	24	46	33	107	1.691699604743083	0.10355499732402593	0.594482392045334	False
FANCB	HRD-Dup	gain	2	68	5	135	0.7941176470588235	1.0	1.0	False
FANCB	HRD-Dup	loss	31	39	77	63	0.6503496503496503	0.1470708457387868	0.6769393618399266	False
MAP3K1	HRD-Dup	gain	0	70	1	139	0.0	0.9999999999999847	1.0	False
MAP3K1	HRD-Dup	loss	34	36	58	82	1.3352490421455938	0.3766343984947142	1.0	False
MAD2L2	HRD-Dup	gain	7	63	10	130	1.4444444444444444	0.5921653137875817	1.0	False
MAD2L2	HRD-Dup	loss	21	49	20	120	2.5714285714285716	0.009446328830030224	0.1331073607867895	False
BRCA2	HRD-Dup	gain	2	68	4	136	1.0	1.0	1.0	False
BRCA2	HRD-Dup	loss	34	36	60	80	1.2592592592592593	0.46384240320812764	1.0	False
ERCC4	HRD-Dup	gain	4	66	6	134	1.3535353535353536	0.7341337075311991	1.0	False
ERCC4	HRD-Dup	loss	12	58	22	118	1.109717868338558	0.8432916075609851	1.0	False
RAD51C	HRD-Dup	gain	6	64	14	126	0.84375	0.8085528259247485	1.0	False
RAD51C	HRD-Dup	loss	21	49	41	99	1.0348432055749128	1.0	1.0	False
GAPDH	HRD-Dup	gain	21	49	42	98	1.0	1.0	1.0	False
GAPDH	HRD-Dup	loss	3	67	11	129	0.5251017639077341	0.39423069106573494	1.0	False
XRCC2	HRD-Dup	gain	25	45	27	113	2.325102880658436	0.011285015299288551	0.14561945231151646	False
XRCC2	HRD-Dup	loss	8	62	10	130	1.6774193548387097	0.3054888430996661	0.9663422587846582	False
SLX4	HRD-Dup	gain	0	70	1	139	0.0	0.9999999999999847	1.0	False
SLX4	HRD-Dup	loss	28	42	43	97	1.503875968992248	0.21599868242766762	0.8067420668985176	False
BRCA1	HRD-Dup	gain	1	69	1	139	2.0144927536231885	1.0	1.0	False
BRCA1	HRD-Dup	loss	31	39	60	80	1.0598290598290598	0.8831376460691982	1.0	False
FANCE	HRD-Dup	gain	17	53	28	112	1.2830188679245282	0.480578752402036	1.0	False
FANCE	HRD-Dup	loss	8	62	17	123	0.9335863377609108	1.0	1.0	False
CCNE1	HRD-Dup	gain	8	62	45	95	0.2724014336917563	0.0012101769784782278	0.04612726643400536	True
CCNE1	HRD-Dup	loss	3	67	6	134	1.0	1.0	1.0	False
FANCD2	HRD-Dup	gain	6	64	1	139	13.03125	0.006053940202151918	0.09877481382458393	True
FANCD2	HRD-Dup	loss	14	56	16	124	1.9375	0.09951247518775537	0.5820541001547956	False
FANCM	HRD-Dup	gain	8	62	3	137	5.89247311827957	0.0073118143389595885	0.11333312225387362	False
FANCM	HRD-Dup	loss	14	56	22	118	1.3409090909090908	0.4431122760267247	1.0	False
FANCI	HRD-Dup	gain	17	53	12	128	3.4213836477987423	0.0028150509592241198	0.059648941318699814	True
FANCI	HRD-Dup	loss	11	59	35	105	0.559322033898305	0.1571524246397232	0.6959607376902027	False
KRAS	HRD-Del	gain	6	30	51	123	0.4823529411764706	0.15067359989340304	0.6769393618399266	False
KRAS	HRD-Del	loss	4	32	6	168	3.5	0.07121710579391471	0.45157124070507665	False
FANCA	HRD-Del	gain	0	36	4	170	0.0	1.0	1.0	False
FANCA	HRD-Del	loss	19	17	86	88	1.1436388508891928	0.8549554816154246	1.0	False
BRIP1	HRD-Del	gain	5	31	16	158	1.592741935483871	0.3700048208906568	1.0	False
BRIP1	HRD-Del	loss	12	24	51	123	1.2058823529411764	0.6904175176102928	1.0	False
MDM2	HRD-Del	gain	1	35	22	152	0.1974025974025974	0.13783061589240997	0.6769393618399266	False
MDM2	HRD-Del	loss	2	34	17	157	0.5432525951557093	0.5397726118792102	1.0	False
FANCC	HRD-Del	gain	1	35	7	167	0.6816326530612244	1.0	1.0	False
FANCC	HRD-Del	loss	10	26	49	125	0.9811616954474097	1.0	1.0	False
FANCG	HRD-Del	gain	1	35	20	154	0.22	0.1364480470956112	0.6769393618399266	False
FANCG	HRD-Del	loss	7	29	34	140	0.9939148073022313	1.0	1.0	False
RFWD3	HRD-Del	gain	0	36	5	169	0.0	0.5906206499284307	1.0	False
RFWD3	HRD-Del	loss	22	14	95	79	1.306766917293233	0.5809675375864415	1.0	False
TP53	HRD-Del	gain	0	36	2	172	0.0	1.0	1.0	False
TP53	HRD-Del	loss	23	13	98	76	1.3720565149136579	0.4614514496264934	1.0	False
PALB2	HRD-Del	gain	5	31	6	168	4.516129032258065	0.023942976065846135	0.21374778141436043	False
PALB2	HRD-Del	loss	5	31	29	145	0.8064516129032258	0.8071136767398078	1.0	False
FANCL	HRD-Del	gain	4	32	21	153	0.9107142857142857	1.0	1.0	False
FANCL	HRD-Del	loss	0	36	4	170	0.0	1.0	1.0	False
RAD51	HRD-Del	gain	0	36	4	170	0.0	1.0	1.0	False
RAD51	HRD-Del	loss	9	27	74	100	0.45045045045045046	0.061189106673670925	0.4123613710616954	False
UBE2T	HRD-Del	gain	5	31	40	134	0.5403225806451613	0.27065645091084084	0.9021881697028028	False
UBE2T	HRD-Del	loss	1	35	11	163	0.42337662337662335	0.6956237560167363	1.0	False
PIK3CA	HRD-Del	gain	21	15	86	88	1.4325581395348836	0.3638692229620258	1.0	False
PIK3CA	HRD-Del	loss	2	34	5	169	1.988235294117647	0.3437726678391467	1.0	False
RB1	HRD-Del	gain	1	35	5	169	0.9657142857142857	1.0	1.0	False
RB1	HRD-Del	loss	21	15	86	88	1.4325581395348836	0.3638692229620258	1.0	False
MYC	HRD-Del	gain	22	14	107	67	0.9839786381842457	1.0	1.0	False
MYC	HRD-Del	loss	0	36	3	171	0.0	1.0	1.0	False
FANCF	HRD-Del	gain	0	36	4	170	0.0	1.0	1.0	False
FANCF	HRD-Del	loss	10	26	47	127	1.039279869067103	1.0	1.0	False
FANCB	HRD-Del	gain	5	31	2	172	13.870967741935484	0.0018641263551045588	0.04612726643400536	True
FANCB	HRD-Del	loss	12	24	96	78	0.40625	0.018256290786501764	0.17893217893217434	False
MAP3K1	HRD-Del	gain	0	36	1	173	0.0	0.9999999999999625	1.0	False
MAP3K1	HRD-Del	loss	15	21	77	97	0.8998144712430427	0.8545388220951906	1.0	False
MAD2L2	HRD-Del	gain	3	33	14	160	1.0389610389610389	1.0	1.0	False
MAD2L2	HRD-Del	loss	7	29	34	140	0.9939148073022313	1.0	1.0	False
BRCA2	HRD-Del	gain	0	36	6	168	0.0	0.5926176223678051	1.0	False
BRCA2	HRD-Del	loss	25	11	69	105	3.458498023715415	0.0015252102153102038	0.04612726643400536	True
ERCC4	HRD-Del	gain	3	33	7	167	2.168831168831169	0.3806101297503808	1.0	False
ERCC4	HRD-Del	loss	6	30	28	146	1.042857142857143	1.0	1.0	False
RAD51C	HRD-Del	gain	6	30	14	160	2.2857142857142856	0.12142631103221349	0.6273692736664364	False
RAD51C	HRD-Del	loss	11	25	51	123	1.0611764705882354	0.8441175600461904	1.0	False
GAPDH	HRD-Del	gain	6	30	57	117	0.4105263157894737	0.07137738965983469	0.45157124070507665	False
GAPDH	HRD-Del	loss	7	29	7	167	5.758620689655173	0.0034630688143327203	0.059648941318699814	True
XRCC2	HRD-Del	gain	9	27	43	131	1.0155038759689923	1.0	1.0	False
XRCC2	HRD-Del	loss	7	29	11	163	3.5768025078369905	0.018667724625259948	0.17893217893217434	False
SLX4	HRD-Del	gain	1	35	0	174	inf	0.17142857142856688	0.710220458048529	False
SLX4	HRD-Del	loss	10	26	61	113	0.712484237074401	0.44480220310528684	1.0	False
BRCA1	HRD-Del	gain	1	35	1	173	4.942857142857143	0.3141490088858567	0.9836989167132886	False
BRCA1	HRD-Del	loss	17	19	74	100	1.209103840682788	0.7122079023003666	1.0	False
FANCE	HRD-Del	gain	6	30	39	135	0.6923076923076923	0.5112593228576863	1.0	False
FANCE	HRD-Del	loss	4	32	21	153	0.9107142857142857	1.0	1.0	False
CCNE1	HRD-Del	gain	7	29	46	128	0.671664167916042	0.5272373759009481	1.0	False
CCNE1	HRD-Del	loss	2	34	7	167	1.403361344537815	0.653639482138686	1.0	False
FANCD2	HRD-Del	gain	0	36	7	167	0.0	0.6062636007035278	1.0	False
FANCD2	HRD-Del	loss	6	30	24	150	1.25	0.6086697152068049	1.0	False
FANCM	HRD-Del	gain	3	33	8	166	1.8863636363636365	0.40565377581796724	1.0	False
FANCM	HRD-Del	loss	7	29	29	145	1.206896551724138	0.6353616438885982	1.0	False
FANCI	HRD-Del	gain	6	30	23	151	1.3130434782608695	0.597762207233517	1.0	False
FANCI	HRD-Del	loss	4	32	42	132	0.39285714285714285	0.11974628698587016	0.6273692736664364	False
KRAS	Undetermined	gain	0	1	57	152	0.0	1.0	1.0	False
KRAS	Undetermined	loss	0	1	10	199	0.0	1.0	1.0	False
FANCA	Undetermined	gain	0	1	4	205	0.0	0.999999999999938	1.0	False
FANCA	Undetermined	loss	0	1	105	104	0.0	0.9999999999999981	1.0	False
BRIP1	Undetermined	gain	0	1	21	188	0.0	1.0	1.0	False
BRIP1	Undetermined	loss	0	1	63	146	0.0	0.9999999999999867	1.0	False
MDM2	Undetermined	gain	0	1	23	186	0.0	0.9999999999999976	1.0	False
MDM2	Undetermined	loss	0	1	19	190	0.0	0.9999999999999277	1.0	False
FANCC	Undetermined	gain	1	0	7	202	inf	0.038095238095237134	0.2880371660859393	False
FANCC	Undetermined	loss	0	1	59	150	0.0	1.0	1.0	False
FANCG	Undetermined	gain	0	1	21	188	0.0	1.0	1.0	False
FANCG	Undetermined	loss	0	1	41	168	0.0	1.0	1.0	False
RFWD3	Undetermined	gain	0	1	5	204	0.0	0.9999999999999851	1.0	False
RFWD3	Undetermined	loss	0	1	117	92	0.0	0.442857142857138	1.0	False
TP53	Undetermined	gain	0	1	2	207	0.0	0.9999999999999462	1.0	False
TP53	Undetermined	loss	0	1	121	88	0.0	0.42380952380951664	1.0	False
PALB2	Undetermined	gain	0	1	11	198	0.0	0.9999999999999692	1.0	False
PALB2	Undetermined	loss	0	1	34	175	0.0	0.9999999999999533	1.0	False
FANCL	Undetermined	gain	0	1	25	184	0.0	0.9999999999999403	1.0	False
FANCL	Undetermined	loss	0	1	4	205	0.0	0.999999999999938	1.0	False
RAD51	Undetermined	gain	1	0	3	206	inf	0.019047619047618557	0.17893217893217434	False
RAD51	Undetermined	loss	0	1	83	126	0.0	0.9999999999999727	1.0	False
UBE2T	Undetermined	gain	1	0	44	165	inf	0.2142857142857084	0.8067420668985176	False
UBE2T	Undetermined	loss	0	1	12	197	0.0	0.9999999999999937	1.0	False
PIK3CA	Undetermined	gain	0	1	107	102	0.0	0.4904761904761867	1.0	False
PIK3CA	Undetermined	loss	0	1	7	202	0.0	0.9999999999999425	1.0	False
RB1	Undetermined	gain	0	1	6	203	0.0	0.9999999999999785	1.0	False
RB1	Undetermined	loss	0	1	107	102	0.0	0.4904761904761867	1.0	False
MYC	Undetermined	gain	1	0	128	81	inf	0.9999999999999647	1.0	False
MYC	Undetermined	loss	0	1	3	206	0.0	0.9999999999999768	1.0	False
FANCF	Undetermined	gain	0	1	4	205	0.0	0.999999999999938	1.0	False
FANCF	Undetermined	loss	0	1	57	152	0.0	1.0	1.0	False
FANCB	Undetermined	gain	0	1	7	202	0.0	0.9999999999999425	1.0	False
FANCB	Undetermined	loss	0	1	108	101	0.0	0.4857142857142744	1.0	False
MAP3K1	Undetermined	gain	0	1	1	208	0.0	0.9999999999999213	1.0	False
MAP3K1	Undetermined	loss	0	1	92	117	0.0	0.9999999999999839	1.0	False
MAD2L2	Undetermined	gain	0	1	17	192	0.0	0.9999999999999989	1.0	False
MAD2L2	Undetermined	loss	0	1	41	168	0.0	1.0	1.0	False
BRCA2	Undetermined	gain	0	1	6	203	0.0	0.9999999999999785	1.0	False
BRCA2	Undetermined	loss	0	1	94	115	0.0	0.9999999999999589	1.0	False
ERCC4	Undetermined	gain	0	1	10	199	0.0	1.0	1.0	False
ERCC4	Undetermined	loss	0	1	34	175	0.0	0.9999999999999533	1.0	False
RAD51C	Undetermined	gain	0	1	20	189	0.0	0.9999999999999479	1.0	False
RAD51C	Undetermined	loss	0	1	62	147	0.0	0.9999999999999951	1.0	False
GAPDH	Undetermined	gain	1	0	62	147	inf	0.29999999999999366	0.9663422587846582	False
GAPDH	Undetermined	loss	0	1	14	195	0.0	0.9999999999999417	1.0	False
XRCC2	Undetermined	gain	0	1	52	157	0.0	0.9999999999999409	1.0	False
XRCC2	Undetermined	loss	0	1	18	191	0.0	0.9999999999999303	1.0	False
SLX4	Undetermined	gain	0	1	1	208	0.0	0.9999999999999213	1.0	False
