gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
FANCF	HRD-Dup	loss	3	13	5	19	0.8769230769230769	0.9999999999999983	1.0	False
FANCB	HRD-Dup	gain	2	14	0	24	inf	0.1538461538461531	1.0	False
FANCB	HRD-Dup	loss	7	9	12	12	0.7777777777777778	0.7552956738718631	1.0	False
MAP3K1	HRD-Dup	gain	0	16	0	24	inf	1.0	1.0	False
MAP3K1	HRD-Dup	loss	8	8	9	15	1.6666666666666667	0.5218668724341683	1.0	False
MAD2L2	HRD-Dup	gain	2	14	2	22	1.5714285714285714	1.0	1.0	False
MAD2L2	HRD-Dup	loss	5	11	2	22	5.0	0.09415068795873789	1.0	False
BRCA2	HRD-Dup	gain	1	15	1	23	1.5333333333333334	0.9999999999999991	1.0	False
BRCA2	HRD-Dup	loss	6	10	7	17	1.457142857142857	0.7330276884225714	1.0	False
ERCC4	HRD-Dup	gain	0	16	1	23	0.0	1.0	1.0	False
ERCC4	HRD-Dup	loss	4	12	2	22	3.6666666666666665	0.19533136375241816	1.0	False
RAD51C	HRD-Dup	gain	3	13	3	21	1.6153846153846154	0.6677973520078865	1.0	False
RAD51C	HRD-Dup	loss	7	9	6	18	2.3333333333333335	0.3049413674618157	1.0	False
GAPDH	HRD-Dup	gain	4	12	8	16	0.6666666666666666	0.7294036298943706	1.0	False
GAPDH	HRD-Dup	loss	1	15	2	22	0.7333333333333333	1.0	1.0	False
XRCC2	HRD-Dup	gain	5	11	4	20	2.272727272727273	0.44144358695442415	1.0	False
XRCC2	HRD-Dup	loss	2	14	1	23	3.2857142857142856	0.5530364372469676	1.0	False
SLX4	HRD-Dup	gain	0	16	0	24	inf	1.0	1.0	False
SLX4	HRD-Dup	loss	4	12	2	22	3.6666666666666665	0.19533136375241816	1.0	False
BRCA1	HRD-Dup	gain	0	16	0	24	inf	1.0	1.0	False
BRCA1	HRD-Dup	loss	6	10	7	17	1.457142857142857	0.7330276884225714	1.0	False
FANCE	HRD-Dup	gain	4	12	6	18	1.0	1.0	1.0	False
FANCE	HRD-Dup	loss	4	12	2	22	3.6666666666666665	0.19533136375241816	1.0	False
CCNE1	HRD-Dup	gain	3	13	10	14	0.3230769230769231	0.17698078239202367	1.0	False
CCNE1	HRD-Dup	loss	2	14	3	21	1.0	1.0	1.0	False
FANCD2	HRD-Dup	gain	1	15	0	24	inf	0.39999999999999963	1.0	False
FANCD2	HRD-Dup	loss	2	14	1	23	3.2857142857142856	0.5530364372469676	1.0	False
FANCM	HRD-Dup	gain	2	14	1	23	3.2857142857142856	0.5530364372469676	1.0	False
FANCM	HRD-Dup	loss	7	9	7	17	1.8888888888888888	0.5001135729723054	1.0	False
FANCI	HRD-Dup	gain	3	13	1	23	5.3076923076923075	0.28324762008972837	1.0	False
FANCI	HRD-Dup	loss	2	14	4	20	0.7142857142857143	1.0	1.0	False
KRAS	HRD-Del	gain	0	6	8	26	0.0	0.3179706021811311	1.0	False
KRAS	HRD-Del	loss	0	6	1	33	0.0	1.0	1.0	False
FANCA	HRD-Del	gain	0	6	1	33	0.0	1.0	1.0	False
FANCA	HRD-Del	loss	2	4	21	13	0.30952380952380953	0.3725061093482206	1.0	False
BRIP1	HRD-Del	gain	1	5	3	31	2.066666666666667	0.4925484188642139	1.0	False
BRIP1	HRD-Del	loss	3	3	12	22	1.8333333333333333	0.6539555750082177	1.0	False
MDM2	HRD-Del	gain	0	6	7	27	0.0	0.5671736513841861	1.0	False
MDM2	HRD-Del	loss	0	6	4	30	0.0	1.0	1.0	False
FANCC	HRD-Del	gain	0	6	2	32	0.0	1.0	1.0	False
FANCC	HRD-Del	loss	2	4	7	27	1.9285714285714286	0.6016030200240817	1.0	False
FANCG	HRD-Del	gain	1	5	3	31	2.066666666666667	0.4925484188642139	1.0	False
FANCG	HRD-Del	loss	1	5	10	24	0.48	1.0	1.0	False
RFWD3	HRD-Del	gain	0	6	0	34	inf	1.0	1.0	False
RFWD3	HRD-Del	loss	1	5	12	22	0.36666666666666664	0.6433651696809694	1.0	False
TP53	HRD-Del	gain	0	6	1	33	0.0	1.0	1.0	False
TP53	HRD-Del	loss	2	4	20	14	0.35	0.3810318415581615	1.0	False
PALB2	HRD-Del	gain	0	6	3	31	0.0	1.0	1.0	False
PALB2	HRD-Del	loss	1	5	8	26	0.65	1.0	1.0	False
FANCL	HRD-Del	gain	0	6	4	30	0.0	1.0	1.0	False
FANCL	HRD-Del	loss	0	6	0	34	inf	1.0	1.0	False
RAD51	HRD-Del	gain	0	6	1	33	0.0	1.0	1.0	False
RAD51	HRD-Del	loss	2	4	15	19	0.6333333333333333	1.0	1.0	False
UBE2T	HRD-Del	gain	0	6	9	25	0.0	0.306494145967835	1.0	False
UBE2T	HRD-Del	loss	1	5	3	31	2.066666666666667	0.4925484188642139	1.0	False
PIK3CA	HRD-Del	gain	2	4	14	20	0.7142857142857143	1.0	1.0	False
PIK3CA	HRD-Del	loss	0	6	0	34	inf	1.0	1.0	False
RB1	HRD-Del	gain	0	6	1	33	0.0	1.0	1.0	False
RB1	HRD-Del	loss	2	4	17	17	0.5	0.6642411642411722	1.0	False
MYC	HRD-Del	gain	4	2	18	16	1.7777777777777777	0.6726118831382055	1.0	False
MYC	HRD-Del	loss	0	6	1	33	0.0	1.0	1.0	False
FANCF	HRD-Del	gain	0	6	1	33	0.0	1.0	1.0	False
FANCF	HRD-Del	loss	0	6	8	26	0.0	0.3179706021811311	1.0	False
FANCB	HRD-Del	gain	0	6	2	32	0.0	1.0	1.0	False
FANCB	HRD-Del	loss	2	4	17	17	0.5	0.6642411642411722	1.0	False
MAP3K1	HRD-Del	gain	0	6	0	34	inf	1.0	1.0	False
MAP3K1	HRD-Del	loss	3	3	14	20	1.4285714285714286	1.0	1.0	False
MAD2L2	HRD-Del	gain	1	5	3	31	2.066666666666667	0.4925484188642139	1.0	False
