gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
BRCA2	FBI	loss	22	46	59	43	0.3485630066322771	0.0016344919205750655	0.045039332922512915	True
ERCC4	FBI	gain	2	66	7	95	0.41125541125541126	0.31828714164596916	0.8082776951555076	False
ERCC4	FBI	loss	11	57	17	85	0.9649122807017544	0.9999999999998594	1.0	False
RAD51C	FBI	gain	3	65	11	91	0.38181818181818183	0.16464175383661356	0.6272630254647836	False
RAD51C	FBI	loss	20	48	29	73	1.0488505747126438	0.9999999999999155	1.0	False
GAPDH	FBI	gain	24	44	27	75	1.5151515151515151	0.23549706789254787	0.7173358591524049	False
GAPDH	FBI	loss	2	66	9	93	0.31313131313131315	0.20288494441365051	0.6534476131764329	False
XRCC2	FBI	gain	9	59	34	68	0.3050847457627119	0.003728752654144568	0.0770608881856544	True
XRCC2	FBI	loss	2	66	13	89	0.20745920745920746	0.02902716590939334	0.20567820415798707	False
SLX4	FBI	gain	0	68	1	101	0.0	0.9999999999999312	1.0	False
SLX4	FBI	loss	24	44	41	61	0.811529933481153	0.6291216688586161	1.0	False
BRCA1	FBI	gain	0	68	2	100	0.0	0.5171597633135623	1.0	False
BRCA1	FBI	loss	25	43	53	49	0.5375164545853445	0.06016607981206844	0.3639314095949506	False
FANCE	FBI	gain	15	53	20	82	1.1603773584905661	0.7031400842287892	1.0	False
FANCE	FBI	loss	7	61	12	90	0.860655737704918	0.8095689260736844	1.0	False
CCNE1	FBI	gain	25	43	15	87	3.372093023255814	0.0015015752933370589	0.045039332922512915	True
CCNE1	FBI	loss	3	65	1	101	4.661538461538462	0.30298287617492276	0.8082776951555076	False
FANCD2	FBI	gain	1	67	5	97	0.28955223880597014	0.40367266770068283	0.9018992936015257	False
FANCD2	FBI	loss	7	61	20	82	0.4704918032786885	0.13432994335692283	0.6074628396792205	False
FANCM	FBI	gain	0	68	8	94	0.0	0.022242342022336534	0.1928193981515227	False
FANCM	FBI	loss	8	60	14	88	0.8380952380952381	0.8175166027889709	1.0	False
FANCI	FBI	gain	4	64	21	81	0.24107142857142858	0.007948172970650424	0.10374457351164765	False
FANCI	FBI	loss	23	45	17	85	2.5555555555555554	0.015734652783105166	0.15608775560840327	False
KRAS	TD	gain	3	15	46	106	0.4608695652173913	0.2817811520120506	0.7989188095954666	False
KRAS	TD	loss	2	16	6	146	3.0416666666666665	0.20211013641494024	0.6534476131764329	False
FANCA	TD	gain	1	17	2	150	4.411764705882353	0.2867087663467602	0.7989188095954666	False
FANCA	TD	loss	14	4	68	84	4.323529411764706	0.011266508119777571	0.13305209589070657	False
BRIP1	TD	gain	1	17	16	136	0.5	1.0	1.0	False
BRIP1	TD	loss	7	11	41	111	1.7228381374722839	0.2824852135868046	0.7989188095954666	False
MDM2	TD	gain	3	15	13	139	2.1384615384615384	0.38291085129546365	0.8886080740793878	False
MDM2	TD	loss	2	16	13	139	1.3365384615384615	0.6622569984138822	1.0	False
FANCC	TD	gain	1	17	5	147	1.7294117647058824	0.49449704144294654	1.0	False
FANCC	TD	loss	5	13	45	107	0.9145299145299145	0.9999999999998894	1.0	False
FANCG	TD	gain	2	16	15	137	1.1416666666666666	0.696826487373879	1.0	False
FANCG	TD	loss	2	16	28	124	0.5535714285714286	0.7431772305224997	1.0	False
RFWD3	TD	gain	2	16	3	149	6.208333333333333	0.08755740106014627	0.4523799054774224	False
RFWD3	TD	loss	13	5	79	73	2.40253164556962	0.1347195813804723	0.6074628396792205	False
TP53	TD	gain	1	17	0	152	inf	0.10588235294116485	0.5251764705881777	False
TP53	TD	loss	9	9	90	62	0.6888888888888889	0.4611781738745514	0.9945407575729457	False
PALB2	TD	gain	0	18	8	144	0.0	1.0	1.0	False
PALB2	TD	loss	7	11	18	134	4.737373737373737	0.006816707395384098	0.10318927158497253	False
FANCL	TD	gain	1	17	20	132	0.38823529411764707	0.7026384578144851	1.0	False
FANCL	TD	loss	2	16	2	150	9.375	0.05606369678225821	0.35650761030769323	False
RAD51	TD	gain	1	17	2	150	4.411764705882353	0.2867087663467602	0.7989188095954666	False
RAD51	TD	loss	8	10	58	94	1.296551724137931	0.6173602606547072	1.0	False
UBE2T	TD	gain	4	14	32	120	1.0714285714285714	0.999999999999934	1.0	False
UBE2T	TD	loss	1	17	7	145	1.218487394957983	0.5996746359175396	1.0	False
PIK3CA	TD	gain	11	7	80	72	1.4142857142857144	0.6194248673872977	1.0	False
